a'ngunc	ອະຫງຸ່ນ
I^saa^li	ອິ^ສະ^ລີ
I^saa^li^yaa	ອິ^ສະ^ລິ^ຢາ
I^saa^maa^en	ອິ^ສະ^ມາ^ເອນ
I^saa^yaa	ອິ^ສະ^ຢາ
I^daa^li	ອິ^ຕາ^ລີ
I^taa^maa	ອິ^ທາ^ມາ
I^tai	ອິ^ໄທi-Ti-en > ອິ^ທີ^ເອນ
I^tu^lie	ອິ^ທູ^ເລຍ
I^ye^aa^laa^mbim	ອິ^ເຢ^ອາ^ລາ^ບິມ
I^yim	ອິ^ຢິມi-yon > ອິ^ໂຢນ
Ikc^ndaa^li^yaa	ອິກ^ດາ^ລິ^ຢາ
Ikc^ketc	ອິກ^ເຂດ
Itc^saa^maa^ki^yaa	ອິດ^ສະ^ມາ^ຄິ^ຢາ
Itc^wi	ອິດ^ວີ
Jor^laa^kev	ຈໍລະເຂັ
Kaa^laau^ndi^atc	ຄາ^ລາວ^ດີ^ອັດ
Gaa^li^li	ກາ^ລິ^ລີ
Kaa^litv^batc	ຄະ^ລິດ^ປັດ
Kaa^lo^e	ຄະ^ໂລ^ເອ
Gaa^maa^li^en	ກາ^ມາ^ລິ^ເອນ
Kaa^si^fie	ຄາ^ສິ^ເຟຍ
Gan^li^o	ກັນ^ລິ^ໂອ
Ge^ndaa^li^yaa	ເກ^ດາ^ລິ^ຢາ
Ge Haa^laa^sim	ເກ^ຫະ^ລາ^ຊິມ
Ge^haa^si	ເກ^ຫະ^ຊີ
Ke^len^hapc^bukc	ເຄ^ເລນ^ຫັບ^ປຸກ
Ke^li^otc	ເຄ^ລິ^ໂອດ
Ke^li^otc Hetv^lon	ເຄ^ລິ^ໂອດ^ເຮດ^ໂລນ
Ge^li^sim	ເກ^ລິ^ຊິມ
Ke^li^taa	ເຄ^ລິ^ທາ
Ke^litv	ເຄ^ລີ້ດ
Ke^litv^taa	ເຄ^ລີ້ດ^ທາ
Ke^lu^mbai	ເຄ^ລູ^ເປຍ
Ke^lu^hi	ເຄ^ລຸ^ຮ
Kelupv	ເຄ^ລູບ
Ge^lutv^kim^ham	ເກ^ລູດ^ຄິມ^ຮຳ
Ge^maa^li^yaa	ເກ^ມາ^ລິ^ຢາ
Ke^naa^aa^naa	ເຄ^ນາ^ອະ^ນາ
Ke^saa^lon	ເຄ^ສະ^ໂລນ
Ke^si^yaa	ເຄ^ສິ^ຢາ
Kesipv	ເຄ^ຊີບ
Gi^mbe^aa	ກິ^ເບ^ອາ
Gi^mbe^atc^e^lo^him	ກິ^ເບ^ອັດ^ເອ^ໂລ^ຮິມ
Gi^mbe^atc Haa^laa^lotv	ກິ^ເບ^ອັດ^ຮາ^ລາ^ໂລດ
