a'ngunc	ອະຫງຸ່ນ
Mbetc Aa^laa^mbaa Laangz	ເບດ^ອາ^ລາ^ບາ
Mbetc Hokv^laa	ເບດ^ຮົກ^ລາ
Se^maa^laa^im	ເສ^ມາ^ລາ^ອິມ
Mbaac^Aac^latv Mbec^Ec^mungv	ບາ^ອາ^ລັດ^ເບ^ເອ ມູ້ງ
Kitv^lotv Taa^mbo Mungv	ຄິດ^ລົດ^ທາ^ໂບ ມູ້ງ
Etc Kaasin Mungv	ເອດ^ຄາ^ຊິນ ມູ້ງ
Ipc^taa En Horngz	ອິບ^ທາ^ເອນ ຮ໌ອງ
Ke^sunx^lotv	ເຄ^ສຸນ^ລົດ
Mbetc Batc^setv	ເບດ^ປັດ^ເຊດ
Atc^notv Taa^mbo	ອັດ^ນົດ^ທາ^ໂບ
Se^aa	ເສ^ອາ
En Haaso	ເອນ^ຮາ^ໂຊ
In Semetv	ອິນ^ເຊ^ເມດ
Mbe^ne Mbelaakv	ເບ^ເນ^ເບ^ລາກ
Timnaatv Heletv	ທິມ^ນາດ^ເຮ^ເລດ
Sefatv	ເສ^ຟັດ
Mbetc Aanaatv	ເບດ^ອາ^ນາດ
Haa^lo^setv Haa^go^yim	ຮາ^ໂລ^ເຊດ^ຮາ^ໂກ^ຢິມ
lorpc lorpc	ຫລອບໆ
Melotv	ເມ^ລົດ
Se^le^laa Mungv	ເສ^ເລ^ລາ ມູ້ງ
Mbetc Qitv^taa Mungv	ເບດ^ທຈິດ^ທາ ມູ້ງ
Mbetc Mbaa^laa Saengv	ເບດ^ບາ^ລາ ແຊ້ງ
Se^epc	ເສ^ເອບ
# also exists with out ^ between
#Mbaa^an Mbelitv	ບາ^ອັນ^ເບ^ລີ້ດ
Mbelitv	ເບ^ລີ້ດ
Laamaatv Lehi	ລາ^ມາດ^ເລ^ຮີ
Solekv	ໂສ^ເລກ
ding ding	ຕີງໆ
ndutc ndutc	ດຸດໆ
huov-jeix	ຮວົ້ວ-ເຈີ໋ຍ
nyapv nyapv	ຍັບໆ
sekv sekv	ເຊກໆ
Se^mbo^im Horngz	ເສ^ໂບ^ອິມ ຮ໌ອງ
nyanh nyanh	ຍັ່ນໆ
mingh mingh	ມີ່ງໆ
Si^laa^aa	ສີ^ລາ^ອາ
youh youh	ໂຢ້ວໆ
O^mbetc E^ndom	ໂອ^ເບດ^ເອ^ດົມ
ndoqc ndoqc	ໂດະໆ
Itc^mbi^mbe^nopv	ອິດ^ບີ^ເບ^ນົບ
mbungh mbungh	ບູ້ງໆ
Yoqc^epv Mbatc^Qev^mbetc	ໂຢ^ເທຈບ^ບັດ^ເທຈ^ເບດ
Saamaa	ຊາ^ມາ
Qiqaa	ຈີ^ທຈາ
njoux njoux	ໂອຈ໋ວໆ
Elotv	ເອ^ລົດ
minaa	ມີ^ນາ
Se^le^ndaa	ເສ^ເລ^ດາ
hiou	ໂຮຢວ
He^si^on	ເຮ^ຊີ^ອົນ
njoh njoh	ໂອຈ້ໆ
suqv suqv	ຊຸໆ
Saen^maa^ne^se	ແຊນ^ມາ^ເນ^ເສ
So Hungh	ໂສ ຮູ່ງ
Hepv^si^mbaa	ເຮບ^ຊີ^ບາ
Haa^lutv	ຮາ^ລຸດ
Lumaa Mienh	ລູ^ມາ ມ່ຽນ
Utc^Sen Sev^Elaa	ອຸດ^ເຊນ^ເຊ^ເອ^ລາ
Se^naa^aa	ເສ^ນາ^ອາ
Si^haqc	ສີ^ຫະ
Si^aa^haa	ສີ^ອາ^ຮາ
Kelotv	ຄ^ລົດ
Me^hi^ndaa	ເມ^ຮີ^ດາ
Mbaa^kotc	ບາ^ຂົດ
Sotai	ໂສ^ໄທ
Hatc^so^fe^letv	ຫັດ^ໂສ^ເຟ^ເລດ
Kitv^lepv	ຄິດ^ເລບ
Mbe^so^ndai^aa	ເບ^ໂສ^ໄດ^ອາ
So^fe^letv	ໂສ^ເຟ^ເລດ
Min^yaa^min	ມິນ^ຢາ^ມິນ
Gingaan	ເບດ^ກິນ^ການ
biangh biangh	ປຢັ້ງໆ
Setaa	ເສ^ທາ
Maan^se^naa	ມານ^ເສ^ນາ
daaih daaih	ຕ້າຍໆ
hungh hungh	ຮູ່ງໆ
mba'ae	ບັ໊ແອ
lungh lungh	ລູ່ງໆ
laih laih	ໄລ່ໆ
ba'nai'h	ປະໄນຮ
mbokc mbokc	ບົກໆ
coh coh	ໂທສ່ໆ
haev haev	ແຮ້ໆ
